model,auc,precision,accuracy,n,n_p,n_n,week,feat_type,course
ensemble,0.759090909090909,0.601503759398496,0.7210526315789471,190,80,110,8,sum,clinicalskills
bn,0.542878015220614,0.68,0.777982496545371,2171,509,1662,0,appended,digitaldemocracy
tree,0.8257714922017411,0.5971428571428571,0.8281897742975591,2171,509,1662,0,appended,digitaldemocracy
ensemble,0.8257714922017411,0.5971428571428571,0.8281897742975591,2171,509,1662,0,appended,digitaldemocracy
bn,0.822707583429931,0.6467532467532471,0.8676293622142,1662,333,1329,1,appended,digitaldemocracy
tree,0.8257038076451171,0.6372795969773299,0.865222623345367,1662,333,1329,1,appended,digitaldemocracy
ensemble,0.765321755163742,0.7086330935251801,0.8694344163658241,1662,333,1329,1,appended,digitaldemocracy
bn,0.7675015017790309,0.5217391304347829,0.864559819413093,1329,190,1139,2,appended,digitaldemocracy
tree,0.7495402245737259,0.6540880503144649,0.8939051918735892,1329,190,1139,2,appended,digitaldemocracy
ensemble,0.735070006007116,0.678321678321678,0.895410082768999,1329,190,1139,2,appended,digitaldemocracy
bn,0.8271739675849269,0.563758389261745,0.913959613696225,1139,117,1022,3,appended,digitaldemocracy
tree,0.7505101443457609,0.576576576576577,0.912203687445127,1139,117,1022,3,appended,digitaldemocracy
ensemble,0.753934801880007,0.615384615384615,0.918349429323968,1139,117,1022,3,appended,digitaldemocracy
bn,0.8661436357243321,0.550607287449393,0.8698630136986301,1022,158,864,4,appended,digitaldemocracy
tree,0.800449777308955,0.65625,0.894324853228963,1022,158,864,4,appended,digitaldemocracy
ensemble,0.78724947257384,0.6875,0.8982387475538159,1022,158,864,4,appended,digitaldemocracy
bn,0.860729347556438,0.456140350877193,0.8101851851851851,864,139,725,5,appended,digitaldemocracy
tree,0.774477797072687,0.590604026845638,0.87037037037037,864,139,725,5,appended,digitaldemocracy
ensemble,0.7721111386752672,0.614285714285714,0.876157407407407,864,139,725,5,appended,digitaldemocracy
bn,0.5273205052733111,0.5522388059701488,0.768770152003685,2171,509,1662,0,only,digitaldemocracy
tree,0.8257714922017411,0.5971428571428571,0.8281897742975591,2171,509,1662,0,only,digitaldemocracy
ensemble,0.8257714922017411,0.5971428571428571,0.8281897742975591,2171,509,1662,0,only,digitaldemocracy
bn,0.858672442193887,0.571984435797665,0.8441636582430809,1662,333,1329,1,only,digitaldemocracy
tree,0.832818145459229,0.614485981308411,0.8586040914560771,1662,333,1329,1,only,digitaldemocracy
ensemble,0.823439692514185,0.617433414043584,0.858002406738869,1662,333,1329,1,only,digitaldemocracy
bn,0.496920197772746,0.107142857142857,0.8404815650865309,1329,190,1139,2,only,digitaldemocracy
tree,0.8275911464350079,0.5748987854251011,0.8848758465011289,1329,190,1139,2,only,digitaldemocracy
ensemble,0.8275911464350079,0.5748987854251011,0.8848758465011289,1329,190,1139,2,only,digitaldemocracy
bn,0.747185843076254,0.45578231292517,0.885864793678665,1139,117,1022,3,only,digitaldemocracy
tree,0.747185843076254,0.45578231292517,0.885864793678665,1139,117,1022,3,only,digitaldemocracy
ensemble,0.747185843076254,0.45578231292517,0.885864793678665,1139,117,1022,3,only,digitaldemocracy
bn,0.8272093295827471,0.479553903345725,0.8346379647749509,1022,158,864,4,only,digitaldemocracy
tree,0.8055848570089079,0.615819209039548,0.885518590998043,1022,158,864,4,only,digitaldemocracy
ensemble,0.7940840365682141,0.614035087719298,0.883561643835616,1022,158,864,4,only,digitaldemocracy
bn,0.8513569833788142,0.526785714285714,0.8530092592592591,864,139,725,5,only,digitaldemocracy
tree,0.793058794343835,0.544943820224719,0.8576388888888891,864,139,725,5,only,digitaldemocracy
ensemble,0.7897047878938229,0.588607594936709,0.8715277777777779,864,139,725,5,only,digitaldemocracy
bn,0.5383470574189261,0.643835616438356,0.7752187931828649,2171,509,1662,0,sum,digitaldemocracy
tree,0.8257714922017411,0.5971428571428571,0.8281897742975591,2171,509,1662,0,sum,digitaldemocracy
ensemble,0.8257714922017411,0.5971428571428571,0.8281897742975591,2171,509,1662,0,sum,digitaldemocracy
bn,0.7890915746446221,0.430493273542601,0.7436823104693142,1662,333,1329,1,sum,digitaldemocracy
tree,0.7456802174635129,0.49438202247191,0.7966305655836341,1662,333,1329,1,sum,digitaldemocracy
